queuedTaskID,sb_id,processName,failedStep,errorCode,dateCreated,retryCount,dateLastRetry,recordProcessed,dateProcessed,description
128,125234,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
129,125401,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
130,125786,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
131,126422,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
132,126623,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
133,126670,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
134,126939,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
135,127217,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
136,127799,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
137,128256,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
138,129325,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
139,129402,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
140,130072,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
141,131682,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
142,131729,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
143,132639,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
144,132868,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
145,132962,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
146,134434,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
147,134502,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
148,135006,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
149,135169,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
150,135527,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
151,135719,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
152,135737,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
153,136395,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
154,136486,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
155,136794,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
156,137217,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
157,137360,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
158,137578,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
159,138095,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
160,138276,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
161,138307,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
162,138392,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
163,138573,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
164,138856,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
165,139169,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
166,139294,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
167,139638,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
168,139732,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
169,140140,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
170,140492,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
171,142664,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
172,142743,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
173,143539,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
174,143710,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
175,143906,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
176,144105,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
177,144296,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
178,144507,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
179,144560,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
180,144574,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
181,144645,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
182,144664,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
183,144993,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
184,145303,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
185,145499,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
186,145502,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
187,145775,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
188,146042,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
189,146076,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
190,146752,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
191,147203,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
192,147585,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
193,147639,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
194,147950,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
195,148012,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
196,148013,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
197,148056,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
198,148097,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
199,148119,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
200,148454,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
201,148635,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
202,148655,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
203,148816,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
204,148933,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
205,149018,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
206,149080,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
207,149153,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
208,150685,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
209,150797,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
210,151606,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
211,151933,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
212,152329,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
213,152455,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
214,152965,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
215,153485,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
216,153541,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
217,154064,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
218,154299,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
219,154395,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
220,154706,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
221,154750,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
222,154924,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
223,154960,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
224,155021,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
225,155098,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
226,155157,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
227,155158,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
228,155306,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
229,155370,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
230,155861,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
231,156590,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
232,157395,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
233,157936,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
234,158417,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
235,158440,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
236,159071,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
237,159081,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
238,159119,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
239,159350,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
240,159858,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
241,160342,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
242,160384,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
243,160462,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
244,160713,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
245,161252,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
246,161466,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
247,161959,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
248,162546,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
249,162761,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
250,163568,CLEAN-UP,,,32:52.6,0,NULL,YES,NULL,NULL
251,163769,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
252,163809,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
253,163829,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
254,163871,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
255,163891,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
256,163980,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
257,164217,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
258,164370,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
259,164858,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
260,165168,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
261,165294,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
262,166734,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
263,167667,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
264,167729,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
265,168368,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
266,168416,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
267,169264,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
268,169591,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
269,169734,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
270,169774,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
271,170060,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
272,170426,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
273,170456,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
274,170712,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
275,171796,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
276,172877,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
277,173108,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
278,174034,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
279,174143,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
280,174808,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
281,174985,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
282,175107,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
283,175479,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
284,175589,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
285,176582,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
286,176812,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
287,176918,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
288,177125,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
289,177562,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
290,177635,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
291,178022,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
292,178055,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
293,178529,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
294,179130,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
295,179436,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
296,179473,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
297,180721,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
298,181405,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
299,181412,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
300,181854,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
301,182305,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
302,182556,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
303,182627,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
304,182698,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
305,182709,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
306,182760,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
307,183651,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
308,183761,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
309,184078,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
310,184578,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
311,184640,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
312,184779,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
313,184927,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
314,185701,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
315,186013,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
316,186054,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
317,186159,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
318,186217,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
319,186747,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
320,187269,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
321,187401,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
322,187498,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
323,188299,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
324,188324,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
325,188510,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
326,188561,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
327,188718,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
328,189071,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
329,189127,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
330,189169,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
331,189347,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
332,189806,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
333,189851,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
334,190203,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
335,190379,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
336,190772,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
337,190956,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
338,191008,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
339,191058,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
340,191095,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
341,191514,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
342,191562,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
343,191700,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
344,191750,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
345,191752,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
346,191769,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
347,191789,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
348,192055,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
349,192736,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
350,192797,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
351,192816,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
352,193119,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
353,193155,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
354,193255,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
355,193765,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
356,194229,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
357,194525,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
358,194703,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
359,194860,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
360,195411,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
361,195420,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
362,195682,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
363,195880,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
364,195900,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
365,195941,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
366,196180,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
367,196463,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
368,196496,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
369,197129,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
370,197172,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
371,197652,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
372,197683,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
373,198190,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
374,198387,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
375,198529,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
376,198685,CLEAN-UP,,,32:52.6,0,NULL,no,NULL,NULL
